,Time (d),NH4_meas_PCA (gNm3),NH4_pred_PCA (gN/m3)
1882,526.4375,0.7111727640000001,0.7109837
1883,526.4583333,0.70495459,0.7092556
1884,526.4791667,0.69931589,0.70923245
1885,526.5,0.6947553040000001,0.708727
1886,526.5208333,0.691736227,0.70727783
1887,526.5416667,0.690664666,0.7056698
1888,526.5625,0.691843751,0.7050872
1889,526.5833333,0.695392833,0.7065109
1890,526.6041667,0.701148585,0.7103027
1891,526.625,0.708659128,0.7162629
1892,526.6458333,0.71728365,0.7239753
1893,526.6666667,0.726310497,0.7329811
1894,526.6875,0.7350894379999999,0.74223673
1895,526.7083333,0.7431773970000001,0.75033206
1896,526.7291667,0.7504129159999999,0.7562587
1897,526.75,0.756849405,0.7596962
1898,526.7708333,0.762696768,0.7619114
1899,526.7916667,0.7682029560000001,0.7648606
1900,526.8125,0.773558773,0.76928526
1901,526.8333333,0.7788569849999999,0.77483314
1902,526.8541667,0.7841088420000001,0.7810565
1903,526.875,0.7892990190000001,0.78786147
1904,526.8958333,0.7944687890000001,0.7950567
1905,526.9166667,0.7997927209999999,0.8023356
1906,526.9375,0.8056123079999999,0.8095875
1907,526.9583333,0.8124299779999998,0.81692094
1908,526.9791667,0.820848571,0.8244538
1909,527.0,0.8315363309999999,0.83236283
1910,527.0208333,0.84512946,0.84178835
1911,527.0416667,0.862026273,0.85442585
1912,527.0625,0.882012142,0.870774
1913,527.0833333,0.904171279,0.88993603
1914,527.1041667,0.927070586,0.9103115
1915,527.125,0.949319572,0.9302311
1916,527.1458333,0.969950097,0.9489019
1917,527.1666667,0.988380922,0.96632963
1918,527.1875,1.004194318,0.9824738
1919,527.2083333,1.017078221,0.996957
1920,527.2291667,1.026581692,1.009114
1921,527.25,1.032188023,1.0181125
1922,527.2708333,1.033471683,1.0234313
1923,527.2916667,1.030235905,1.0248597
1924,527.3125,1.022495929,1.021946
1925,527.3333333,1.010423685,1.0140389
1926,527.3541667,0.9944523989999999,0.99870175
1927,527.375,0.974979288,0.9737499
1928,527.3958333,0.9525215870000001,0.9434911
1929,527.4166667,0.9276763169999999,0.91496754
1930,527.4375,0.901290667,0.8914689
1931,527.4583333,0.8743609859999998,0.8726846
1932,527.4791667,0.847922924,0.8559646
1933,527.5,0.8229155879999999,0.83898807
1934,527.5208333,0.800123859,0.82147235
1935,527.5416667,0.7801990529999999,0.8044764
1936,527.5625,0.7635450559999998,0.78938496
1937,527.5833333,0.750396579,0.777205
1938,527.6041667,0.7406994539999999,0.7682434
1939,527.625,0.7340729490000001,0.76223344
1940,527.6458333,0.729920485,0.7587579
1941,527.6666667,0.7276170909999999,0.7574073
1942,527.6875,0.7266088200000002,0.75704354
1943,527.7083333,0.726468633,0.7561483
1944,527.7291667,0.7269293970000001,0.7539919
1945,527.75,0.72785009,0.7507915
1946,527.7708333,0.7291317740000001,0.7479315
1947,527.7916667,0.7306179420000001,0.7468622
1948,527.8125,0.732062109,0.74755037
1949,527.8333333,0.733185155,0.748948
1950,527.8541667,0.7337813679999999,0.7502613
1951,527.875,0.7337965100000001,0.75132924
1952,527.8958333,0.7333455899999999,0.7522264
1953,527.9166667,0.732664467,0.75306785
1954,527.9375,0.7320323879999999,0.7537042
1955,527.9583333,0.7317038159999999,0.7537895
1956,527.9791667,0.731893424,0.7533605
1957,528.0,0.7327880440000001,0.75283265
1958,528.0208333,0.7345299419999999,0.7528814
1959,528.0416667,0.737123911,0.7541482
1960,528.0625,0.740358811,0.7565467
1961,528.0833333,0.7438265239999999,0.7594122
1962,528.1041667,0.747032888,0.76213044
1963,528.125,0.7495182129999999,0.7643336
1964,528.1458333,0.750937628,0.7659926
1965,528.1666667,0.751065357,0.7672666
1966,528.1875,0.7497809529999999,0.7680593
1967,528.2083333,0.7470483389999999,0.7680425
1968,528.2291667,0.74294107,0.7667984
1969,528.25,0.7375871740000001,0.76403475
1970,528.2708333,0.7311818420000001,0.75979465
1971,528.2916667,0.723940403,0.7543663
1972,528.3125,0.7160452909999999,0.7478766
1973,528.3333333,0.707652965,0.7402221
1974,528.3541667,0.698887185,0.7299383
1975,528.375,0.6898364990000001,0.7153897
1976,528.3958333,0.6805634509999999,0.69925606
1977,528.4166667,0.671171547,0.6859877
1978,528.4375,0.661864023,0.67726064
1979,528.4583333,0.652872652,0.6721897
1980,528.4791667,0.644440392,0.66889024
1981,528.5,0.636916705,0.6659338
1982,528.5208333,0.630748768,0.6627992
1983,528.5416667,0.626275403,0.65963066
1984,528.5625,0.6236981079999999,0.65705776
1985,528.5833333,0.623113814,0.65585566
1986,528.6041667,0.624504918,0.65632296
1987,528.625,0.627722971,0.65823096
1988,528.6458333,0.632533325,0.6613708
1989,528.6666667,0.638664582,0.6657157
1990,528.6875,0.645828992,0.6709841
1991,528.7083333,0.653675026,0.6766921
1992,528.7291667,0.661791246,0.68209624
1993,528.75,0.669771873,0.6863628
1994,528.7708333,0.6773152640000001,0.69008356
1995,528.7916667,0.684211063,0.694835
1996,528.8125,0.690354923,0.7012362
1997,528.8333333,0.69574643,0.70890135
1998,528.8541667,0.7004820420000001,0.71673375
1999,528.875,0.704851162,0.72354907
2000,528.8958333,0.7093869890000001,0.7289536
2001,528.9166667,0.714858717,0.733372
2002,528.9375,0.7221508409999999,0.7377848
2003,528.9583333,0.732046113,0.743267
2004,528.9791667,0.7448459770000001,0.7506274
2005,529.0,0.760451775,0.7601996
2006,529.0208333,0.77817064,0.7721618
2007,529.0416667,0.796962967,0.78633976
2008,529.0625,0.8154625679999999,0.8017834
2009,529.0833333,0.832443808,0.81692076
2010,529.1041667,0.8470286399999999,0.83095706
2011,529.125,0.858550644,0.84394616
2012,529.1458333,0.8665901119999999,0.855193
2013,529.1666667,0.8712245719999999,0.86330664
2014,529.1875,0.8727446209999999,0.867943
