,Time (d),PO4_meas_PCA (gPm3),PO4_pred_PCA (gP/m3)
849,504.9166667,5.170582228,5.2563233
850,504.9375,5.146760171,5.2378945
851,504.95833330000005,5.121880652,5.218647
852,504.9791667,5.095600826,5.1981087
853,505.0,5.067697798999999,5.1759906
854,505.02083330000005,5.038099475,5.1522856
855,505.0416667,5.006933544,5.12715
856,505.0625,4.974572816,5.1008883
857,505.08333330000005,4.941443829,5.0738835
858,505.1041667,4.907912961,5.0462046
859,505.125,4.874321392,5.017767
860,505.14583330000005,4.841015612,4.988604
861,505.1666667,4.80848383,4.9589524
862,505.1875,4.777391801,4.929619
863,505.20833330000005,4.748377501,4.9016347
864,505.2291667,4.721953787,4.8754325
865,505.25,4.69856726,4.85099
866,505.27083330000005,4.678564906,4.828058
867,505.2916667,4.662355823,4.8064914
868,505.3125,4.65028854,4.7869573
869,505.33333330000005,4.642507148,4.770315
870,505.3541667,4.638837277,4.757086
871,505.375,4.638826149,4.747469
872,505.39583330000005,4.641905704,4.744469
873,505.4166667,4.647393342,4.751932
874,505.4375,4.654465582,4.767707
875,505.45833330000005,4.662251577,4.7863283
876,505.4791667,4.669954253,4.8023434
877,505.5,4.676815352,4.812301
878,505.52083330000005,4.68208075,4.8173995
879,505.5416667,4.685083225,4.820366
880,505.5625,4.685163244,4.822142
881,505.58333330000005,4.681570112,4.8220043
882,505.6041667,4.673448485,4.8184085
883,505.625,4.660029182,4.809924
884,505.64583330000005,4.641016877,4.79636
885,505.6666667,4.616806026,4.778323
886,505.6875,4.588209025,4.756152
887,505.70833330000005,4.556359397,4.7300606
888,505.7291667,4.522463503,4.701141
889,505.75,4.487591023,4.671047
890,505.77083330000005,4.452556497,4.6414857
891,505.7916667,4.41804948,4.613698
892,505.8125,4.384713524,4.5878882
893,505.83333330000005,4.353091319,4.5638423
894,505.8541667,4.323600619,4.54168
895,505.875,4.296365478,4.521798
896,505.89583330000005,4.2712396980000005,4.5039706
897,505.9166667,4.247899725,4.4874825
898,505.9375,4.2259335139999985,4.471522
899,505.95833330000005,4.205012496,4.4554005
900,505.9791667,4.184984891,4.438947
901,506.0,4.165870572,4.4222937
902,506.02083330000005,4.147803606,4.405685
903,506.0416667,4.131099904,4.389399
904,506.0625,4.116143657,4.3742275
905,506.08333330000005,4.103178988,4.3609858
906,506.1041667,4.092268422,4.34953
907,506.125,4.0833962160000015,4.3391666
908,506.14583330000005,4.076517083,4.32955
909,506.1666667,4.071587664,4.320761
910,506.1875,4.068577062,4.313501
911,506.20833330000005,4.067459207,4.308484
912,506.2291667,4.068233936,4.3056664
913,506.25,4.070924275,4.304589
914,506.27083330000005,4.07554024,4.3049445
915,506.2916667,4.082073783,4.306625
916,506.3125,4.0905411,4.3091693
917,506.33333330000005,4.100958457,4.3120527
918,506.3541667,4.1132818539999985,4.315614
919,506.375,4.127490645,4.320761
920,506.39583330000005,4.14365636,4.330868
921,506.4166667,4.161889948,4.35015
922,506.4375,4.1821890680000005,4.3775067
923,506.45833330000005,4.20437186,4.408529
924,506.4791667,4.228038652,4.439121
925,506.5,4.252790093,4.4667993
926,506.52083330000005,4.278367645,4.4911056
927,506.5416667,4.304377188,4.5127144
928,506.5625,4.330119469,4.5332036
929,506.58333330000005,4.354879416,4.5537996
930,506.6041667,4.3781336789999985,4.5744386
931,506.625,4.399457236,4.594321
932,506.64583330000005,4.418488685,4.612781
933,506.6666667,4.435037265,4.6294837
934,506.6875,4.449110504,4.6438413
935,506.70833330000005,4.460827383,4.655176
936,506.7291667,4.470423444,4.663419
937,506.75,4.478114337,4.6691804
938,506.77083330000005,4.484149111,4.6741476
939,506.7916667,4.488825482,4.6801767
940,506.8125,4.492439726000001,4.6874814
941,506.83333330000005,4.495210108,4.695165
942,506.8541667,4.497216553,4.702412
943,506.875,4.498411528,4.7088366
944,506.89583330000005,4.498591313,4.713905
945,506.9166667,4.497464702,4.716928
946,506.9375,4.49474569,4.7181964
947,506.95833330000005,4.490278733999999,4.7184486
948,506.9791667,4.483962864,4.7172704
949,507.0,4.475796764,4.7134175
950,507.02083330000005,4.465908689,4.706452
951,507.0416667,4.454558278,4.6968093
952,507.0625,4.442114951000001,4.6852393
953,507.08333330000005,4.429069869,4.672415
954,507.1041667,4.415973472,4.6592355
955,507.125,4.40332195,4.6465826
956,507.14583330000005,4.3914569389999984,4.634844
957,507.1666667,4.380567334,4.62403
958,507.1875,4.37071879,4.614007
959,507.20833330000005,4.361908449,4.6046495
960,507.2291667,4.354126975,4.5958505
961,507.25,4.347418491,4.5875454
962,507.27083330000005,4.341911498,4.579793
963,507.2916667,4.337804303,4.572691
964,507.3125,4.335371862,4.5655966
965,507.33333330000005,4.335003657,4.5576715
966,507.3541667,4.337086287,4.5498614
967,507.375,4.341863441,4.5440993
968,507.39583330000005,4.3494450910000015,4.544243
969,507.4166667,4.359903202,4.5545816
970,507.4375,4.37312367,4.574179
971,507.45833330000005,4.388790307,4.5987315
972,507.4791667,4.406445412,4.623691
973,507.5,4.425479363,4.6458483
974,507.52083330000005,4.44530904,4.6648116
975,507.5416667,4.465397908,4.6818542
976,507.5625,4.485339488,4.697851
977,507.58333330000005,4.504708753,4.712852
978,507.6041667,4.523001768,4.7269793
979,507.625,4.539777191000001,4.740423
980,507.64583330000005,4.554741102,4.752965
981,507.6666667,4.567737644,4.7641287
982,507.6875,4.578785934,4.7733583
983,507.70833330000005,4.587982448,4.7803087
984,507.7291667,4.595404764,4.7852983
985,507.75,4.601174511,4.789059
986,507.77083330000005,4.605452458999999,4.7926693
987,507.7916667,4.608399186000001,4.797129
988,507.8125,4.610203881,4.802558
