,Time (d),NH4_meas_AutoML (gN/m3),NH4_pred_AutoML (gN/m3)
3298,555.9375,15118.8625,14994.168
3299,555.9583332999998,15125.48177,14999.808
3300,555.9791667000002,15132.098730000003,15006.631
3301,556.0,15138.22596,15013.469
3302,556.0208332999998,15144.62009,15019.931
3303,556.0416667000002,15151.2515,15026.749
3304,556.0625,15158.0373,15033.814
3305,556.0833332999998,15165.18115,15040.993
3306,556.1041667000002,15172.0194,15048.492
3307,556.125,15178.5251,15055.669
3308,556.1458332999998,15184.89544,15062.583
3309,556.1666667000002,15191.215869999998,15069.587
3310,556.1875,15197.25493,15076.7
3311,556.2083332999998,15203.38701,15083.528
3312,556.2291667000002,15209.32975,15090.402
3313,556.25,15215.17327,15097.172
3314,556.2708332999998,15220.75295,15104.023
3315,556.2916667000002,15226.18112,15110.812
3316,556.3125,15231.14941,15117.284
3317,556.3333332999998,15235.714930000002,15122.541
3318,556.3541667000002,15239.87942,15125.503
3319,556.375,15243.85046,15125.521
3320,556.3958332999998,15248.11376,15124.618
3321,556.4166667000002,15252.7312,15125.139
3322,556.4375,15257.58225,15127.587
3323,556.4583332999998,15262.38551,15131.667
3324,556.4791667000002,15267.26345,15136.611
3325,556.5,15272.09776,15141.984
3326,556.5208332999998,15276.3407,15147.275
3327,556.5416667000002,15280.50454,15151.745
3328,556.5625,15284.5051,15155.995
3329,556.5833332999998,15288.60367,15160.2295
3330,556.6041667000002,15292.63353,15164.742
3331,556.625,15296.49625,15169.207
3332,556.6458332999998,15300.25381,15173.384
3333,556.6666667000002,15303.96155,15177.283
3334,556.6875,15307.75015,15180.921
3335,556.7083332999998,15311.56727,15184.352
3336,556.7291667000002,15315.108219999998,15187.261
3337,556.75,15318.36789,15189.105
3338,556.7708332999998,15321.444119999998,15190.362
3339,556.7916667000002,15324.40845,15191.889
3340,556.8125,15327.453269999998,15194.06
3341,556.8333332999998,15330.619969999998,15196.955
3342,556.8541667000002,15334.02929,15200.374
3343,556.875,15337.59185,15204.258
3344,556.8958332999998,15341.07639,15208.383
3345,556.9166667000002,15344.30666,15212.4
3346,556.9375,15347.30255,15216.046
3347,556.9583332999998,15349.95411,15219.306
3348,556.9791667000002,15352.62299,15222.206
3349,557.0,15355.12034,15225.282
3350,557.0208332999998,15357.93619,15228.365
3351,557.0416667000002,15360.68999,15231.831
3352,557.0625,15363.312430000002,15235.391
3353,557.0833332999998,15365.80968,15239.096
3354,557.1041667000002,15368.059630000002,15242.73
3355,557.125,15370.35667,15245.914
3356,557.1458332999998,15372.68525,15249.045
3357,557.1666667000002,15374.91613,15252.42
3358,557.1875,15376.94635,15255.929
3359,557.2083332999998,15378.65101,15259.209
3360,557.2291667000002,15379.69432,15261.995
3361,557.25,15380.63269,15264.019
3362,557.2708332999998,15381.11962,15265.996
3363,557.2916667000002,15381.666980000002,15267.788
3364,557.3125,15381.8211,15269.663
3365,557.3333332999998,15381.8966,15270.58
3366,557.3541667000002,15381.07298,15269.214
3367,557.375,15380.53175,15263.57
3368,557.3958332999998,15379.70242,15257.03
3369,557.4166667000002,15378.88954,15251.618
3370,557.4375,15377.64421,15248.13
3371,557.4583332999998,15376.663880000002,15245.815
3372,557.4791667000002,15375.24152,15244.832
3373,557.5,15373.45531,15243.975
3374,557.5208332999998,15371.72504,15242.86
3375,557.5416667000002,15369.9774,15241.657
3376,557.5625,15367.73167,15240.286
3377,557.5833332999998,15366.247619999998,15238.381
3378,557.6041667000002,15364.40236,15237.191
3379,557.625,15362.22447,15235.645
3380,557.6458332999998,15360.16868,15233.775
3381,557.6666667000002,15357.79985,15232.055
3382,557.6875,15355.588430000002,15229.91
3383,557.7083332999998,15353.22187,15227.497
3384,557.7291667000002,15350.74055,15224.237
3385,557.75,15347.84523,15220.054
3386,557.7708332999998,15345.37332,15215.272
3387,557.7916667000002,15343.30138,15211.498
3388,557.8125,15341.38204,15208.84
3389,557.8333332999998,15339.692480000003,15206.712
3390,557.8541667000002,15338.27472,15205.03
3391,557.875,15337.02194,15203.9375
3392,557.8958332999998,15335.84869,15203.248
3393,557.9166667000002,15334.7662,15202.626
3394,557.9375,15333.6563,15202.03
3395,557.9583332999998,15332.60374,15201.488
3396,557.9791667000002,15331.81109,15201.179
3397,558.0,15331.33791,15201.321
3398,558.0208332999998,15331.01623,15201.95
3399,558.0416667000002,15330.96967,15202.844
3400,558.0625,15331.32646,15204.047
3401,558.0833332999998,15332.26904,15205.721
3402,558.1041667000002,15333.1101,15208.048
3403,558.125,15333.71349,15210.217
3404,558.1458332999998,15334.28466,15212.044
3405,558.1666667000002,15334.88683,15213.863
3406,558.1875,15335.49307,15215.802
3407,558.2083332999998,15335.87628,15217.754
3408,558.2291667000002,15336.05881,15219.349
3409,558.25,15336.187930000002,15220.463
3410,558.2708332999998,15336.23951,15221.298
3411,558.2916667000002,15335.92144,15221.988
3412,558.3125,15335.88625,15222.19
3413,558.3333332999998,15336.332580000002,15222.171
3414,558.3541667000002,15335.515780000002,15220.844
3415,558.375,15334.82345,15215.407
3416,558.3958332999998,15334.21432,15208.979
3417,558.4166667000002,15333.01737,15204.118
3418,558.4375,15332.0004,15200.861
3419,558.4583332999998,15330.64137,15199.225
3420,558.4791667000002,15329.23903,15197.967
3421,558.5,15327.70844,15197.027
3422,558.5208332999998,15326.28711,15196.113
3423,558.5416667000002,15324.57917,15195.297
3424,558.5625,15322.80155,15194.182
3425,558.5833332999998,15320.87815,15193.042
3426,558.6041667000002,15318.65185,15191.855
3427,558.625,15316.22157,15190.468
3428,558.6458332999998,15313.874930000002,15188.851
3429,558.6666667000002,15311.527280000002,15187.159
3430,558.6875,15308.87632,15185.17
3431,558.7083332999998,15306.09472,15182.426
3432,558.7291667000002,15303.32948,15178.893
3433,558.75,15300.41126,15174.6
3434,558.7708332999998,15297.77208,15169.903
3435,558.7916667000002,15295.08126,15165.994
3436,558.8125,15292.36569,15162.934
3437,558.8333332999998,15289.42961,15160.67
3438,558.8541667000002,15286.67945,15158.433
3439,558.875,15283.87307,15156.027
3440,558.8958332999998,15281.27165,15153.175
3441,558.9166667000002,15278.54921,15150.389
3442,558.9375,15275.93652,15147.585
3443,558.9583332999998,15273.390619999998,15145.063
3444,558.9791667000002,15271.04279,15142.863
3445,559.0,15268.793,15141.206
3446,559.0208332999998,15266.69126,15139.917
3447,559.0416667000002,15264.691319999998,15138.877
