,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
448,496.5625,14136.50118,14107.101
449,496.58333330000005,14114.072,14087.389
450,496.6041667,14091.78821,14067.737
451,496.625,14070.37772,14048.597
452,496.64583330000005,14049.1998,14030.976
453,496.6666667,14028.179430000002,14014.104
454,496.6875,14007.47203,13997.079
455,496.70833330000005,13986.98654,13979.005
456,496.7291667,13966.99624,13958.803
457,496.75,13947.7665,13936.12
458,496.77083330000005,13928.5585,13912.701
459,496.7916667,13909.8817,13890.562
460,496.8125,13891.81714,13871.48
461,496.83333330000005,13874.06011,13855.22
462,496.8541667,13856.67484,13839.947
463,496.875,13839.5455,13824.126
464,496.89583330000005,13822.97503,13807.712
465,496.9166667,13806.914169999998,13792.17
466,496.9375,13791.27013,13778.037
467,496.95833330000005,13776.1097,13764.999
468,496.9791667,13761.005119999998,13753.098
469,497.0,13746.49501,13742.293
470,497.02083330000005,13732.260080000002,13732.945
471,497.0416667,13718.510580000002,13724.377
472,497.0625,13704.82728,13716.472
473,497.08333330000005,13691.41236,13708.719
474,497.1041667,13678.298830000002,13700.972
475,497.125,13665.13519,13692.911
476,497.14583330000005,13652.23802,13684.279
477,497.1666667,13639.5005,13675.624
478,497.1875,13626.81936,13667.066
479,497.20833330000005,13614.153080000002,13658.6045
480,497.2291667,13601.70321,13650.702
481,497.25,13589.519519999998,13644.226
482,497.27083330000005,13577.24046,13638.632
483,497.2916667,13564.87149,13632.195
484,497.3125,13552.52698,13623.915
485,497.33333330000005,13540.29875,13613.338
486,497.3541667,13528.19753,13598.34
487,497.375,13516.135430000002,13576.094
488,497.39583330000005,13504.57247,13549.182
489,497.4166667,13493.32311,13523.985
490,497.4375,13482.76755,13504.599
491,497.45833330000005,13471.89785,13492.5625
492,497.4791667,13461.75095,13485.288
493,497.5,13451.8956,13481.035
494,497.52083330000005,13442.55649,13477.42
495,497.5416667,13433.64076,13473.692
496,497.5625,13424.73889,13469.297
497,497.58333330000005,13416.75273,13463.586
498,497.6041667,13408.90716,13457.945
499,497.625,13401.3357,13452.886
500,497.64583330000005,13394.27628,13449.161
501,497.6666667,13387.33581,13446.915
502,497.6875,13381.19732,13444.6
503,497.70833330000005,13375.6441,13441.173
504,497.7291667,13369.56124,13435.202
505,497.75,13363.71907,13425.173
506,497.77083330000005,13358.90536,13413.457
507,497.7916667,13353.79477,13403.452
508,497.8125,13350.11871,13395.831
509,497.83333330000005,13346.30025,13392.528
510,497.8541667,13342.74572,13390.923
