,Time (d),NH4_meas_Pearson (gN/m3),NH4_pred_Pearson (gN/m3)
1972,569.4166667000002,0.636616006,0.6734452
1973,569.4583332999998,0.62155839,0.66457146
1974,569.5,0.607419947,0.6511436
1975,569.5416667000002,0.596734677,0.6378414
1976,569.5833332999998,0.591071691,0.6260298
1977,569.625,0.590721826,0.6211229
1978,569.6666667000002,0.594532615,0.6191385
1979,569.7083332999998,0.600861183,0.6222131
1980,569.75,0.608200772,0.6273653
1981,569.7916667000002,0.615593866,0.63282317
1982,569.8333332999998,0.622571313,0.6435326
1983,569.875,0.628417256,0.6566814
1984,569.9166667000002,0.633719965,0.6628814
1985,569.9583332999998,0.641817361,0.6673597
1986,570.0,0.656216476,0.673054
1987,570.0416667000002,0.6766549590000001,0.6869866
1988,570.0833332999998,0.698849059,0.70555943
1989,570.125,0.7186519240000001,0.72388035
1990,570.1666667000002,0.734780894,0.7380564
1991,570.2083332999998,0.747239405,0.74965954
1992,570.25,0.75456527,0.76106495
1993,570.2916667000002,0.754825315,0.7659546
1994,570.3333332999998,0.747799564,0.764979
1995,570.375,0.7349307509999999,0.7600529
1996,570.4166667000002,0.718303903,0.7523909
1997,570.4583332999998,0.7002592540000001,0.73827815
1998,570.5,0.6830896040000001,0.7207652
1999,570.5416667000002,0.669054,0.70457375
2000,570.5833332999998,0.659403455,0.6912182
2001,570.625,0.654266448,0.682615
2002,570.6666667000002,0.652992067,0.67712843
2003,570.7083332999998,0.654725125,0.6777229
2004,570.75,0.658371333,0.6794884
2005,570.7916667000002,0.6630915629999999,0.68276536
2006,570.8333332999998,0.668442467,0.6901568
2007,570.875,0.6739481909999999,0.69688165
2008,570.9166667000002,0.679642746,0.7045963
2009,570.9583332999998,0.6865723990000001,0.71008396
2010,571.0,0.6961286520000001,0.7134641
2011,571.0416667000002,0.70877522,0.719152
2012,571.0833332999998,0.7228422459999999,0.7270192
2013,571.125,0.7351709380000001,0.7359154
2014,571.1666667000002,0.7429605770000002,0.7434407
2015,571.2083332999998,0.7448092759999999,0.7471434
2016,571.25,0.7410199790000002,0.7458511
2017,571.2916667000002,0.73251243,0.74002385
2018,571.3333332999998,0.720352455,0.7313857
