,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
620,506.625,14664.37157,14430.515
621,506.65625,14663.58552,14427.113
622,506.6875,14662.59196,14423.71
623,506.71875,14661.95829,14419.865
624,506.75,14661.95567,14415.773
625,506.78125,14662.252169999998,14411.837
626,506.8125,14662.59046,14408.605
627,506.84375,14663.6425,14406.438
628,506.875,14664.990630000002,14404.825
629,506.90625,14667.011169999998,14403.31
630,506.9375,14669.99661,14402.839
631,506.96875,14673.462919999998,14402.285
632,507.0,14677.67932,14402.08
633,507.03125,14682.752080000002,14404.529
634,507.0625,14688.71642,14409.238
635,507.09375,14695.71859,14415.248
636,507.125,14701.900119999998,14421.003
637,507.15625,14707.71981,14424.59
638,507.1875,14714.3125,14426.813
639,507.21875,14720.57526,14429.04
640,507.25,14726.73407,14431.525
641,507.28125,14732.71025,14433.878
642,507.3125,14738.72656,14436.41
643,507.34375,14744.80069,14440.742
644,507.375,14749.90994,14438.732
645,507.40625,14754.38403,14422.551
646,507.4375,14758.82161,14407.774
647,507.46875,14763.28669,14402.056
648,507.5,14767.66918,14402.348
649,507.53125,14771.80064,14403.744
650,507.5625,14775.90434,14403.976
651,507.59375,14780.15389,14404.707
652,507.625,14784.586269999998,14406.963
653,507.65625,14788.64137,14409.666
654,507.6875,14792.94381,14412.446
655,507.71875,14797.19506,14414.2295
656,507.75,14802.31489,14413.284
657,507.78125,14807.545580000002,14409.745
658,507.8125,14812.67075,14407.143
659,507.84375,14818.11972,14405.028
660,507.875,14823.90876,14402.088
661,507.90625,14830.4007,14399.381
662,507.9375,14836.84586,14398.09
663,507.96875,14843.33619,14397.629
664,508.0,14850.32037,14397.4375
665,508.03125,14857.5238,14398.294
666,508.0625,14864.8772,14401.889
667,508.09375,14871.6121,14406.377
668,508.125,14878.12144,14409.889
669,508.15625,14884.141930000002,14413.384
670,508.1875,14889.6075,14417.043
671,508.21875,14894.65831,14420.65
672,508.25,14899.57595,14425.321
673,508.28125,14903.93204,14432.289
674,508.3125,14907.60764,14438.687
675,508.34375,14910.301119999998,14440.455
676,508.375,14913.41209,14433.294
677,508.40625,14916.42785,14418.152
678,508.4375,14919.38205,14406.301
679,508.46875,14922.13105,14402.396
680,508.5,14924.871180000002,14404.529
681,508.53125,14927.72311,14408.967
682,508.5625,14930.659780000002,14413.102
683,508.59375,14933.36541,14416.659
684,508.625,14936.0242,14419.404
685,508.65625,14938.575380000002,14420.419
686,508.6875,14941.396380000002,14420.462
687,508.71875,14944.63322,14419.488
688,508.75,14948.13376,14416.217
689,508.78125,14951.74564,14410.39
690,508.8125,14955.876080000002,14404.479
691,508.84375,14961.17681,14401.712
692,508.875,14967.08883,14402.787
