,Time (d),COD_meas_GA (gCOD/m3),COD_pred_GA (gCOD/m3)
921,544.875,52.645722163,53.556026
922,544.9375,52.626224251999986,53.63776
923,545.0,52.441391221,53.642708
924,545.0625,52.128409308,53.46988
925,545.125,51.705524625,53.118774
926,545.1875,51.457323587000005,52.679104
927,545.25,51.089091898,52.373222
928,545.3125,50.713562426,51.945908
929,545.375,50.707575086000006,51.517437
930,545.4375,50.952902813,51.5474
931,545.5,51.081832143,51.838783
932,545.5625,50.923006132,51.998455
933,545.625,50.829924375,51.915794
934,545.6875,50.823214818000004,51.83865
935,545.75,50.569028226,51.843117
936,545.8125,50.551165578,51.69364
937,545.875,50.478050200000006,51.73872
938,545.9375,50.335808046000004,51.70675
939,546.0,50.19627770100001,51.628437
940,546.0625,50.229504721000005,51.53771
941,546.125,50.02155175,51.566704
942,546.1875,49.730315973,51.330353
943,546.25,49.499110621999996,51.00657
944,546.3125,49.469411519,50.74347
945,546.375,49.809071407,50.659725
946,546.4375,50.342456606999995,51.02809
947,546.5,50.54227131799999,51.572094
948,546.5625,50.653685895,51.816204
949,546.625,51.03467055500001,52.030262
950,546.6875,51.293425185,52.39947
951,546.75,51.47874212600001,52.66606
952,546.8125,51.727575361999996,52.905067
953,546.875,52.02908337300001,53.151134
954,546.9375,52.198215318,53.45315
955,547.0,52.12355427399999,53.633068
956,547.0625,52.029126535,53.552994
957,547.125,52.024098745,53.434006
958,547.1875,52.104260528999994,53.40671
959,547.25,52.025927066,53.436768
960,547.3125,52.014081379,53.29838
961,547.375,52.397335358999996,53.235554
962,547.4375,52.902970805,53.624943
963,547.5,53.012798257,54.103825
964,547.5625,52.89115563,54.25506
965,547.625,53.036372672999995,54.24675
966,547.6875,53.07617550800001,54.443897
967,547.75,53.12528429899999,54.536625
968,547.8125,53.458537442,54.658665
969,547.875,53.689607171,54.994057
970,547.9375,53.77521671299999,55.212032
971,548.0,54.028424479,55.2951
972,548.0625,54.33664856,55.521935
973,548.125,54.33438301500001,55.762863
974,548.1875,54.135436324,55.690403
975,548.25,54.065920694999996,55.430264
976,548.3125,54.026247414,55.2749
977,548.375,54.095792893,55.142612
978,548.4375,54.41437803699999,55.211655
979,548.5,54.447307401999986,55.494328
980,548.5625,54.36691944100001,55.54788
981,548.625,54.33748760600001,55.565174
982,548.6875,54.152412974000015,55.603844
983,548.75,54.06496377599999,55.483913
984,548.8125,54.09710045600001,55.44935
985,548.875,54.183354347,55.51459
986,548.9375,54.41463156999999,55.62162
987,549.0,54.355914394999985,55.85945
988,549.0625,54.120047137,55.797375
989,549.125,53.890441658,55.545513
990,549.1875,53.687687358000005,55.30119
991,549.25,53.46954349000001,55.052856
992,549.3125,53.309475338999995,54.772697
993,549.375,53.30037367799999,54.55426
994,549.4375,53.642713379,54.573822
995,549.5,53.94230350800001,54.88355
996,549.5625,53.918313346000005,55.169846
997,549.625,53.721047225,55.235386
998,549.6875,53.56800409,55.09815
999,549.75,53.793669658999995,54.98446
1000,549.8125,54.059960417,55.262024
1001,549.875,54.226968778,55.52828
1002,549.9375,54.322042506,55.685886
1003,550.0,54.36151367,55.785122
1004,550.0625,54.486670039,55.818462
1005,550.125,54.297389421000005,55.903347
1006,550.1875,54.036388942,55.665874
1007,550.25,53.905995761999996,55.354195
1008,550.3125,53.809017947,55.15067
1009,550.375,53.726136023,54.959255
1010,550.4375,54.02707888000001,54.84782
1011,550.5,54.284041153000004,55.08415
1012,550.5625,54.202793623999995,55.359383
1013,550.625,54.241629856,55.381786
1014,550.6875,54.446379330999996,55.485813
1015,550.75,54.475976296999995,55.70408
1016,550.8125,54.410906231000006,55.747578
1017,550.875,54.824445264999994,55.711838
1018,550.9375,55.06028540800002,56.11003
1019,551.0,55.097594821,56.342445
1020,551.0625,54.884751224,56.360523
1021,551.125,54.785034936,56.120583
1022,551.1875,54.582173253,55.95583
1023,551.25,54.384717861999995,55.689217
1024,551.3125,54.47372863600001,55.418312
1025,551.375,54.826075497999994,55.40104
1026,551.4375,55.256192377999994,55.67527
1027,551.5,55.325961353000004,56.034977
1028,551.5625,55.15082424999999,56.12969
1029,551.625,55.01280264300001,56.05583
1030,551.6875,54.997187517,55.986015
1031,551.75,55.11644274999999,55.992905
1032,551.8125,54.967627456,56.107212
1033,551.875,54.83834259199999,55.99941
1034,551.9375,54.49222098,55.89876
1035,552.0,54.17411943800001,55.60287
1036,552.0625,54.06123481299999,55.330875
1037,552.125,54.005632556,55.216133
1038,552.1875,53.774300541,55.125195
1039,552.25,53.49215741899999,54.85655
1040,552.3125,53.498511892,54.537407
1041,552.375,53.50235385999999,54.475903
1042,552.4375,53.71323945300002,54.517803
1043,552.5,53.728514579999995,54.76305
