,Time (d),NH4_meas (gNm3),NH4_pred (gN/m3)
632,526.8125,0.773558773,0.7518405
633,526.875,0.7892990190000001,0.76931244
634,526.9375,0.8056123079999999,0.79101676
635,527.0,0.8315363309999999,0.81249756
636,527.0625,0.882012142,0.8321727
637,527.125,0.949319572,0.8796171
638,527.1875,1.004194318,0.932071
639,527.25,1.032188023,0.9748822
640,527.3125,1.022495929,0.991879
641,527.375,0.974979288,0.9783627
642,527.4375,0.901290667,0.93842524
643,527.5,0.8229155879999999,0.8806797
644,527.5625,0.7635450559999998,0.8100023
645,527.625,0.7340729490000001,0.7562385
646,527.6875,0.7266088200000002,0.73141617
647,527.75,0.72785009,0.7227985
648,527.8125,0.732062109,0.72001535
649,527.875,0.7337965100000001,0.72194827
650,527.9375,0.7320323879999999,0.7223945
651,528.0,0.7327880440000001,0.719369
652,528.0625,0.740358811,0.7116061
653,528.125,0.7495182129999999,0.71130896
654,528.1875,0.7497809529999999,0.71049124
655,528.25,0.7375871740000001,0.7076976
656,528.3125,0.7160452909999999,0.6941163
657,528.375,0.6898364990000001,0.6769793
658,528.4375,0.661864023,0.6656804
659,528.5,0.636916705,0.6512078
660,528.5625,0.6236981079999999,0.635475
661,528.625,0.627722971,0.626119
662,528.6875,0.645828992,0.6276906
663,528.75,0.669771873,0.64105934
664,528.8125,0.690354923,0.6601252
665,528.875,0.704851162,0.68465626
666,528.9375,0.7221508409999999,0.7017265
667,529.0,0.760451775,0.71269685
668,529.0625,0.8154625679999999,0.7374789
669,529.125,0.858550644,0.7764103
670,529.1875,0.8727446209999999,0.81015694
671,529.25,0.863462948,0.81668645
672,529.3125,0.8415235579999999,0.80460805
673,529.375,0.807613467,0.7880284
674,529.4375,0.7629159169999999,0.7643207
675,529.5,0.7178514009999999,0.73622245
676,529.5625,0.6859976729999999,0.7033449
677,529.625,0.675731194,0.6783253
678,529.6875,0.68318667,0.6694594
679,529.75,0.6965938209999999,0.6748637
680,529.8125,0.7076976859999999,0.6817848
681,529.875,0.712075152,0.6935452
682,529.9375,0.71178257,0.69620055
683,530.0,0.7158159279999999,0.6897995
684,530.0625,0.723024129,0.69433755
685,530.125,0.724860231,0.7044495
686,530.1875,0.7263454640000002,0.7085704
687,530.25,0.734247293,0.7101713
688,530.3125,0.7417129250000001,0.70928735
689,530.375,0.736062368,0.71093905
690,530.4375,0.709346668,0.71199816
691,530.5,0.6730801129999999,0.69735277
692,530.5625,0.647214931,0.67007554
693,530.625,0.6400260520000001,0.6511661
694,530.6875,0.645621424,0.6417856
695,530.75,0.6544368420000001,0.6396371
696,530.8125,0.6569889870000001,0.6475274
697,530.875,0.649584212,0.65469915
698,530.9375,0.644075293,0.65181625
699,531.0,0.650048097,0.64581215
700,531.0625,0.662561521,0.64513904
701,531.125,0.6712191190000001,0.6480523
702,531.1875,0.669501799,0.64840627
703,531.25,0.6566638020000001,0.64748377
704,531.3125,0.6381923420000001,0.63282704
705,531.375,0.6193178979999999,0.61781937
706,531.4375,0.600312369,0.6051121
707,531.5,0.581217585,0.5944476
708,531.5625,0.565300171,0.58714205
709,531.625,0.556893973,0.5727452
710,531.6875,0.557489773,0.56412816
711,531.75,0.5621806229999999,0.5673868
712,531.8125,0.565475346,0.5686065
713,531.875,0.56774686,0.5714798
714,531.9375,0.569256721,0.5730787
